census_region,age_group,sex,education_5,income_bin,pop_count
East North Central Division,30-44,Male,Less than high school degree,150000+,41782
East North Central Division,30-44,Male,Less than high school degree,25000-49999,71733
East North Central Division,30-44,Male,Less than high school degree,50000-99999,127681
East North Central Division,30-44,Male,Some college or Associate degree,0-24999,59948
East North Central Division,30-44,Male,Some college or Associate degree,100000-149999,357561
East North Central Division,30-44,Male,Some college or Associate degree,150000+,269942
East North Central Division,30-44,Male,Some college or Associate degree,25000-49999,148304
East North Central Division,30-44,Male,Some college or Associate degree,50000-99999,432079
East North Central Division,45-60,Female,Bachelor degree,0-24999,37335
East North Central Division,45-60,Female,Bachelor degree,100000-149999,242370
East North Central Division,45-60,Female,Bachelor degree,150000+,491158
East North Central Division,45-60,Female,Bachelor degree,25000-49999,56467
East North Central Division,45-60,Female,Bachelor degree,50000-99999,203479
East North Central Division,45-60,Female,Graduate degree,0-24999,17570
East North Central Division,45-60,Female,Graduate degree,100000-149999,147231
East North Central Division,45-60,Female,Graduate degree,150000+,412727
East North Central Division,45-60,Female,Graduate degree,25000-49999,22563
East North Central Division,45-60,Female,Graduate degree,50000-99999,105673
East North Central Division,45-60,Female,High school degree,0-24999,135378
East North Central Division,45-60,Female,High school degree,100000-149999,227903
East North Central Division,45-60,Female,High school degree,150000+,172845
East North Central Division,45-60,Female,High school degree,25000-49999,175987
East North Central Division,45-60,Female,High school degree,50000-99999,339374
East North Central Division,45-60,Female,Less than high school degree,0-24999,55830
East North Central Division,45-60,Female,Less than high school degree,100000-149999,63890
East North Central Division,45-60,Female,Less than high school degree,150000+,47816
East North Central Division,45-60,Female,Less than high school degree,25000-49999,69506
East North Central Division,45-60,Female,Less than high school degree,50000-99999,107576
East North Central Division,45-60,Female,Some college or Associate degree,0-24999,120073
East North Central Division,45-60,Female,Some college or Associate degree,100000-149999,331240
East North Central Division,45-60,Female,Some college or Associate degree,150000+,368115
East North Central Division,45-60,Female,Some college or Associate degree,25000-49999,183158
East North Central Division,45-60,Female,Some college or Associate degree,50000-99999,406280
East North Central Division,45-60,Male,Bachelor degree,0-24999,26397
East North Central Division,45-60,Male,Bachelor degree,100000-149999,191798
East North Central Division,45-60,Male,Bachelor degree,150000+,472083
East North Central Division,45-60,Male,Bachelor degree,25000-49999,40656
East North Central Division,45-60,Male,Bachelor degree,50000-99999,139432
East North Central Division,45-60,Male,Graduate degree,0-24999,12507
East North Central Division,45-60,Male,Graduate degree,100000-149999,100029
East North Central Division,45-60,Male,Graduate degree,150000+,375038
East North Central Division,45-60,Male,Graduate degree,25000-49999,17475
East North Central Division,45-60,Male,Graduate degree,50000-99999,65840
East North Central Division,45-60,Male,High school degree,0-24999,112647
East North Central Division,45-60,Male,High school degree,100000-149999,302445
East North Central Division,45-60,Male,High school degree,150000+,246165
East North Central Division,45-60,Male,High school degree,25000-49999,192491
East North Central Division,45-60,Male,High school degree,50000-99999,427453
East North Central Division,45-60,Male,Less than high school degree,0-24999,54726
East North Central Division,45-60,Male,Less than high school degree,100000-149999,74259
East North Central Division,45-60,Male,Less than high school degree,150000+,60601
East North Central Division,45-60,Male,Less than high school degree,25000-49999,74696
East North Central Division,45-60,Male,Less than high school degree,50000-99999,126099
East North Central Division,45-60,Male,Some college or Associate degree,0-24999,78304
East North Central Division,45-60,Male,Some college or Associate degree,100000-149999,323343
East North Central Division,45-60,Male,Some college or Associate degree,150000+,372923
East North Central Division,45-60,Male,Some college or Associate degree,25000-49999,119752
East North Central Division,45-60,Male,Some college or Associate degree,50000-99999,334533
East North Central Division,61+,Female,Bachelor degree,0-24999,83238
East North Central Division,61+,Female,Bachelor degree,100000-149999,177262
East North Central Division,61+,Female,Bachelor degree,150000+,230978
East North Central Division,61+,Female,Bachelor degree,25000-49999,138046
East North Central Division,61+,Female,Bachelor degree,50000-99999,285028
East North Central Division,61+,Female,Graduate degree,0-24999,44594
East North Central Division,61+,Female,Graduate degree,100000-149999,145269
East North Central Division,61+,Female,Graduate degree,150000+,205184
East North Central Division,61+,Female,Graduate degree,25000-49999,81032
East North Central Division,61+,Female,Graduate degree,50000-99999,201942
East North Central Division,61+,Female,High school degree,0-24999,425033
East North Central Division,61+,Female,High school degree,100000-149999,249930
East North Central Division,61+,Female,High school degree,150000+,174499
