census_region,age_group,sex,education_5,income_bin,pop_count
Middle Atlantic Division,30-44,Female,Graduate degree,150000+,630205
Middle Atlantic Division,30-44,Female,Graduate degree,25000-49999,31445
Middle Atlantic Division,30-44,Female,Graduate degree,50000-99999,155435
Middle Atlantic Division,30-44,Female,High school degree,0-24999,102142
Middle Atlantic Division,30-44,Female,High school degree,100000-149999,149068
Middle Atlantic Division,30-44,Female,High school degree,150000+,123777
Middle Atlantic Division,30-44,Female,High school degree,25000-49999,145232
Middle Atlantic Division,30-44,Female,High school degree,50000-99999,240097
Middle Atlantic Division,30-44,Female,Less than high school degree,0-24999,55488
Middle Atlantic Division,30-44,Female,Less than high school degree,100000-149999,43195
Middle Atlantic Division,30-44,Female,Less than high school degree,150000+,43335
Middle Atlantic Division,30-44,Female,Less than high school degree,25000-49999,66631
Middle Atlantic Division,30-44,Female,Less than high school degree,50000-99999,88082
Middle Atlantic Division,30-44,Female,Some college or Associate degree,0-24999,80108
Middle Atlantic Division,30-44,Female,Some college or Associate degree,100000-149999,207271
Middle Atlantic Division,30-44,Female,Some college or Associate degree,150000+,205416
Middle Atlantic Division,30-44,Female,Some college or Associate degree,25000-49999,133516
Middle Atlantic Division,30-44,Female,Some college or Associate degree,50000-99999,283843
Middle Atlantic Division,30-44,Male,Bachelor degree,0-24999,25836
Middle Atlantic Division,30-44,Male,Bachelor degree,100000-149999,244195
Middle Atlantic Division,30-44,Male,Bachelor degree,150000+,614487
Middle Atlantic Division,30-44,Male,Bachelor degree,25000-49999,47707
Middle Atlantic Division,30-44,Male,Bachelor degree,50000-99999,183005
Middle Atlantic Division,30-44,Male,Graduate degree,0-24999,13732
Middle Atlantic Division,30-44,Male,Graduate degree,100000-149999,135907
Middle Atlantic Division,30-44,Male,Graduate degree,150000+,450444
Middle Atlantic Division,30-44,Male,Graduate degree,25000-49999,19445
Middle Atlantic Division,30-44,Male,Graduate degree,50000-99999,100850
Middle Atlantic Division,30-44,Male,High school degree,0-24999,75326
Middle Atlantic Division,30-44,Male,High school degree,100000-149999,223606
Middle Atlantic Division,30-44,Male,High school degree,150000+,196754
Middle Atlantic Division,30-44,Male,High school degree,25000-49999,143849
Middle Atlantic Division,30-44,Male,High school degree,50000-99999,331074
Middle Atlantic Division,30-44,Male,Less than high school degree,0-24999,40099
Middle Atlantic Division,30-44,Male,Less than high school degree,100000-149999,54960
Middle Atlantic Division,30-44,Male,Less than high school degree,150000+,67121
Middle Atlantic Division,30-44,Male,Less than high school degree,25000-49999,68823
Middle Atlantic Division,30-44,Male,Less than high school degree,50000-99999,111303
Middle Atlantic Division,30-44,Male,Some college or Associate degree,0-24999,49430
Middle Atlantic Division,30-44,Male,Some college or Associate degree,100000-149999,226263
Middle Atlantic Division,30-44,Male,Some college or Associate degree,150000+,267922
Middle Atlantic Division,30-44,Male,Some college or Associate degree,25000-49999,95533
Middle Atlantic Division,30-44,Male,Some college or Associate degree,50000-99999,258251
Middle Atlantic Division,45-60,Female,Bachelor degree,0-24999,37222
Middle Atlantic Division,45-60,Female,Bachelor degree,100000-149999,197379
Middle Atlantic Division,45-60,Female,Bachelor degree,150000+,519061
Middle Atlantic Division,45-60,Female,Bachelor degree,25000-49999,52964
Middle Atlantic Division,45-60,Female,Bachelor degree,50000-99999,165596
Middle Atlantic Division,45-60,Female,Graduate degree,0-24999,19754
Middle Atlantic Division,45-60,Female,Graduate degree,100000-149999,141262
Middle Atlantic Division,45-60,Female,Graduate degree,150000+,525555
Middle Atlantic Division,45-60,Female,Graduate degree,25000-49999,25507
Middle Atlantic Division,45-60,Female,Graduate degree,50000-99999,109737
Middle Atlantic Division,45-60,Female,High school degree,0-24999,118607
Middle Atlantic Division,45-60,Female,High school degree,100000-149999,205990
Middle Atlantic Division,45-60,Female,High school degree,150000+,223893
Middle Atlantic Division,45-60,Female,High school degree,25000-49999,158906
Middle Atlantic Division,45-60,Female,High school degree,50000-99999,309829
Middle Atlantic Division,45-60,Female,Less than high school degree,0-24999,68495
Middle Atlantic Division,45-60,Female,Less than high school degree,100000-149999,65221
Middle Atlantic Division,45-60,Female,Less than high school degree,150000+,70850
Middle Atlantic Division,45-60,Female,Less than high school degree,25000-49999,78525
Middle Atlantic Division,45-60,Female,Less than high school degree,50000-99999,118732
Middle Atlantic Division,45-60,Female,Some college or Associate degree,0-24999,82336
Middle Atlantic Division,45-60,Female,Some college or Associate degree,100000-149999,231999
Middle Atlantic Division,45-60,Female,Some college or Associate degree,150000+,328352
Middle Atlantic Division,45-60,Female,Some college or Associate degree,25000-49999,129644
Middle Atlantic Division,45-60,Female,Some college or Associate degree,50000-99999,263217
Middle Atlantic Division,45-60,Male,Bachelor degree,0-24999,26954
Middle Atlantic Division,45-60,Male,Bachelor degree,100000-149999,151662
Middle Atlantic Division,45-60,Male,Bachelor degree,150000+,509318
Middle Atlantic Division,45-60,Male,Bachelor degree,25000-49999,41885
Middle Atlantic Division,45-60,Male,Bachelor degree,50000-99999,118121
Middle Atlantic Division,45-60,Male,Graduate degree,0-24999,14759
Middle Atlantic Division,45-60,Male,Graduate degree,100000-149999,89334
Middle Atlantic Division,45-60,Male,Graduate degree,150000+,449099
Middle Atlantic Division,45-60,Male,Graduate degree,25000-49999,14578
Middle Atlantic Division,45-60,Male,Graduate degree,50000-99999,67114
Middle Atlantic Division,45-60,Male,High school degree,0-24999,98178
Middle Atlantic Division,45-60,Male,High school degree,100000-149999,260727
Middle Atlantic Division,45-60,Male,High school degree,150000+,277997
Middle Atlantic Division,45-60,Male,High school degree,25000-49999,140758
Middle Atlantic Division,45-60,Male,High school degree,50000-99999,338893
Middle Atlantic Division,45-60,Male,Less than high school degree,0-24999,55853
Middle Atlantic Division,45-60,Male,Less than high school degree,100000-149999,78862
Middle Atlantic Division,45-60,Male,Less than high school degree,150000+,95500
Middle Atlantic Division,45-60,Male,Less than high school degree,25000-49999,73840
Middle Atlantic Division,45-60,Male,Less than high school degree,50000-99999,129403
Middle Atlantic Division,45-60,Male,Some college or Associate degree,0-24999,48405
Middle Atlantic Division,45-60,Male,Some college or Associate degree,100000-149999,212811
Middle Atlantic Division,45-60,Male,Some college or Associate degree,150000+,339583
Middle Atlantic Division,45-60,Male,Some college or Associate degree,25000-49999,76443
Middle Atlantic Division,45-60,Male,Some college or Associate degree,50000-99999,211770
Middle Atlantic Division,61+,Female,Bachelor degree,0-24999,88053
Middle Atlantic Division,61+,Female,Bachelor degree,100000-149999,161790
Middle Atlantic Division,61+,Female,Bachelor degree,150000+,295365
Middle Atlantic Division,61+,Female,Bachelor degree,25000-49999,121542
Middle Atlantic Division,61+,Female,Bachelor degree,50000-99999,251920
Middle Atlantic Division,61+,Female,Graduate degree,0-24999,47756
Middle Atlantic Division,61+,Female,Graduate degree,100000-149999,163739
Middle Atlantic Division,61+,Female,Graduate degree,150000+,306405
Middle Atlantic Division,61+,Female,Graduate degree,25000-49999,75507
Middle Atlantic Division,61+,Female,Graduate degree,50000-99999,192800
Middle Atlantic Division,61+,Female,High school degree,0-24999,375074
Middle Atlantic Division,61+,Female,High school degree,100000-149999,252151
Middle Atlantic Division,61+,Female,High school degree,150000+,258111
Middle Atlantic Division,61+,Female,High school degree,25000-49999,414767
Middle Atlantic Division,61+,Female,High school degree,50000-99999,549004
Middle Atlantic Division,61+,Female,Less than high school degree,0-24999,228125
Middle Atlantic Division,61+,Female,Less than high school degree,100000-149999,80326
Middle Atlantic Division,61+,Female,Less than high school degree,150000+,97917
Middle Atlantic Division,61+,Female,Less than high school degree,25000-49999,136811
Middle Atlantic Division,61+,Female,Less than high school degree,50000-99999,150927
Middle Atlantic Division,61+,Female,Some college or Associate degree,0-24999,201979
Middle Atlantic Division,61+,Female,Some college or Associate degree,100000-149999,219309
Middle Atlantic Division,61+,Female,Some college or Associate degree,150000+,244490
Middle Atlantic Division,61+,Female,Some college or Associate degree,25000-49999,259345
Middle Atlantic Division,61+,Female,Some college or Associate degree,50000-99999,406612
Middle Atlantic Division,61+,Male,Bachelor degree,0-24999,51528
Middle Atlantic Division,61+,Male,Bachelor degree,100000-149999,173506
Middle Atlantic Division,61+,Male,Bachelor degree,150000+,306633
Middle Atlantic Division,61+,Male,Bachelor degree,25000-49999,84363
Middle Atlantic Division,61+,Male,Bachelor degree,50000-99999,219631
Middle Atlantic Division,61+,Male,Graduate degree,0-24999,35646
Middle Atlantic Division,61+,Male,Graduate degree,100000-149999,142603
Middle Atlantic Division,61+,Male,Graduate degree,150000+,374617
Middle Atlantic Division,61+,Male,Graduate degree,25000-49999,49965
Middle Atlantic Division,61+,Male,Graduate degree,50000-99999,138167
Middle Atlantic Division,61+,Male,High school degree,0-24999,210892
Middle Atlantic Division,61+,Male,High school degree,100000-149999,235640
Middle Atlantic Division,61+,Male,High school degree,150000+,202676
Middle Atlantic Division,61+,Male,High school degree,25000-49999,290018
Middle Atlantic Division,61+,Male,High school degree,50000-99999,468166
Middle Atlantic Division,61+,Male,Less than high school degree,0-24999,134912
Middle Atlantic Division,61+,Male,Less than high school degree,100000-149999,67737
Middle Atlantic Division,61+,Male,Less than high school degree,150000+,79247
Middle Atlantic Division,61+,Male,Less than high school degree,25000-49999,110693
Middle Atlantic Division,61+,Male,Less than high school degree,50000-99999,139700
Middle Atlantic Division,61+,Male,Some college or Associate degree,0-24999,109813
Middle Atlantic Division,61+,Male,Some college or Associate degree,100000-149999,193305
Middle Atlantic Division,61+,Male,Some college or Associate degree,150000+,220955
Middle Atlantic Division,61+,Male,Some college or Associate degree,25000-49999,154914
Middle Atlantic Division,61+,Male,Some college or Associate degree,50000-99999,338687
Mountain Division,18-29,Female,Bachelor degree,0-24999,20663
Mountain Division,18-29,Female,Bachelor degree,100000-149999,99665
Mountain Division,18-29,Female,Bachelor degree,150000+,115282
Mountain Division,18-29,Female,Bachelor degree,25000-49999,43199
Mountain Division,18-29,Female,Bachelor degree,50000-99999,122163
Mountain Division,18-29,Female,Graduate degree,0-24999,3248
Mountain Division,18-29,Female,Graduate degree,100000-149999,28384
Mountain Division,18-29,Female,Graduate degree,150000+,32398
Mountain Division,18-29,Female,Graduate degree,25000-49999,9622
Mountain Division,18-29,Female,Graduate degree,50000-99999,28387
Mountain Division,18-29,Female,High school degree,0-24999,49311
Mountain Division,18-29,Female,High school degree,100000-149999,127365
Mountain Division,18-29,Female,High school degree,150000+,123737
Mountain Division,18-29,Female,High school degree,25000-49999,92822
Mountain Division,18-29,Female,High school degree,50000-99999,200379
Mountain Division,18-29,Female,Less than high school degree,0-24999,18577
Mountain Division,18-29,Female,Less than high school degree,100000-149999,31676
Mountain Division,18-29,Female,Less than high school degree,150000+,35110
Mountain Division,18-29,Female,Less than high school degree,25000-49999,29577
Mountain Division,18-29,Female,Less than high school degree,50000-99999,58006
Mountain Division,18-29,Female,Some college or Associate degree,0-24999,65070
Mountain Division,18-29,Female,Some college or Associate degree,100000-149999,134730
Mountain Division,18-29,Female,Some college or Associate degree,150000+,144454
Mountain Division,18-29,Female,Some college or Associate degree,25000-49999,100507
Mountain Division,18-29,Female,Some college or Associate degree,50000-99999,220402
Mountain Division,18-29,Male,Bachelor degree,0-24999,15539
Mountain Division,18-29,Male,Bachelor degree,100000-149999,81930
Mountain Division,18-29,Male,Bachelor degree,150000+,112250
Mountain Division,18-29,Male,Bachelor degree,25000-49999,29778
Mountain Division,18-29,Male,Bachelor degree,50000-99999,101682
Mountain Division,18-29,Male,Graduate degree,0-24999,2263
Mountain Division,18-29,Male,Graduate degree,100000-149999,18722
Mountain Division,18-29,Male,Graduate degree,150000+,21264
Mountain Division,18-29,Male,Graduate degree,25000-49999,6776
Mountain Division,18-29,Male,Graduate degree,50000-99999,17611
Mountain Division,18-29,Male,High school degree,0-24999,44505
Mountain Division,18-29,Male,High school degree,100000-149999,165396
Mountain Division,18-29,Male,High school degree,150000+,189574
Mountain Division,18-29,Male,High school degree,25000-49999,93185
Mountain Division,18-29,Male,High school degree,50000-99999,240717
Mountain Division,18-29,Male,Less than high school degree,0-24999,21315
Mountain Division,18-29,Male,Less than high school degree,100000-149999,52493
Mountain Division,18-29,Male,Less than high school degree,150000+,60528
Mountain Division,18-29,Male,Less than high school degree,25000-49999,37866
Mountain Division,18-29,Male,Less than high school degree,50000-99999,82222
Mountain Division,18-29,Male,Some college or Associate degree,0-24999,58333
Mountain Division,18-29,Male,Some college or Associate degree,100000-149999,131667
Mountain Division,18-29,Male,Some college or Associate degree,150000+,160925
Mountain Division,18-29,Male,Some college or Associate degree,25000-49999,91231
Mountain Division,18-29,Male,Some college or Associate degree,50000-99999,208034
Mountain Division,30-44,Female,Bachelor degree,0-24999,18722
Mountain Division,30-44,Female,Bachelor degree,100000-149999,187968
Mountain Division,30-44,Female,Bachelor degree,150000+,305485
Mountain Division,30-44,Female,Bachelor degree,25000-49999,41120
Mountain Division,30-44,Female,Bachelor degree,50000-99999,171106
Mountain Division,30-44,Female,Graduate degree,0-24999,9811
Mountain Division,30-44,Female,Graduate degree,100000-149999,99104
Mountain Division,30-44,Female,Graduate degree,150000+,235555
Mountain Division,30-44,Female,Graduate degree,25000-49999,17529
Mountain Division,30-44,Female,Graduate degree,50000-99999,85187
Mountain Division,30-44,Female,High school degree,0-24999,41935
Mountain Division,30-44,Female,High school degree,100000-149999,126060
Mountain Division,30-44,Female,High school degree,150000+,92512
Mountain Division,30-44,Female,High school degree,25000-49999,85748
Mountain Division,30-44,Female,High school degree,50000-99999,165385
Mountain Division,30-44,Female,Less than high school degree,0-24999,24098
Mountain Division,30-44,Female,Less than high school degree,100000-149999,28390
Mountain Division,30-44,Female,Less than high school degree,150000+,20839
Mountain Division,30-44,Female,Less than high school degree,25000-49999,38238
Mountain Division,30-44,Female,Less than high school degree,50000-99999,65654
Mountain Division,30-44,Female,Some college or Associate degree,0-24999,47826
Mountain Division,30-44,Female,Some college or Associate degree,100000-149999,193582
Mountain Division,30-44,Female,Some college or Associate degree,150000+,179375
Mountain Division,30-44,Female,Some college or Associate degree,25000-49999,102182
Mountain Division,30-44,Female,Some college or Associate degree,50000-99999,251164
Mountain Division,30-44,Male,Bachelor degree,0-24999,19475
Mountain Division,30-44,Male,Bachelor degree,100000-149999,168369
Mountain Division,30-44,Male,Bachelor degree,150000+,287650
Mountain Division,30-44,Male,Bachelor degree,25000-49999,31381
Mountain Division,30-44,Male,Bachelor degree,50000-99999,140985
Mountain Division,30-44,Male,Graduate degree,0-24999,6830
Mountain Division,30-44,Male,Graduate degree,100000-149999,79216
Mountain Division,30-44,Male,Graduate degree,150000+,203403
Mountain Division,30-44,Male,Graduate degree,25000-49999,13096
Mountain Division,30-44,Male,Graduate degree,50000-99999,56301
Mountain Division,30-44,Male,High school degree,0-24999,35989
Mountain Division,30-44,Male,High school degree,100000-149999,161959
Mountain Division,30-44,Male,High school degree,150000+,129341
Mountain Division,30-44,Male,High school degree,25000-49999,86869
Mountain Division,30-44,Male,High school degree,50000-99999,225004
Mountain Division,30-44,Male,Less than high school degree,0-24999,25439
Mountain Division,30-44,Male,Less than high school degree,100000-149999,45507
Mountain Division,30-44,Male,Less than high school degree,150000+,36791
Mountain Division,30-44,Male,Less than high school degree,25000-49999,39784
Mountain Division,30-44,Male,Less than high school degree,50000-99999,88962
Mountain Division,30-44,Male,Some college or Associate degree,0-24999,35082
Mountain Division,30-44,Male,Some college or Associate degree,100000-149999,205578
Mountain Division,30-44,Male,Some college or Associate degree,150000+,203648
Mountain Division,30-44,Male,Some college or Associate degree,25000-49999,79700
Mountain Division,30-44,Male,Some college or Associate degree,50000-99999,255350
Mountain Division,45-60,Female,Bachelor degree,0-24999,21722
Mountain Division,45-60,Female,Bachelor degree,100000-149999,125843
Mountain Division,45-60,Female,Bachelor degree,150000+,269331
Mountain Division,45-60,Female,Bachelor degree,25000-49999,34782
Mountain Division,45-60,Female,Bachelor degree,50000-99999,104988
Mountain Division,45-60,Female,Graduate degree,0-24999,10647
Mountain Division,45-60,Female,Graduate degree,100000-149999,76001
Mountain Division,45-60,Female,Graduate degree,150000+,213686
Mountain Division,45-60,Female,Graduate degree,25000-49999,15817
Mountain Division,45-60,Female,Graduate degree,50000-99999,64006
Mountain Division,45-60,Female,High school degree,0-24999,45248
Mountain Division,45-60,Female,High school degree,100000-149999,111458
Mountain Division,45-60,Female,High school degree,150000+,119663
Mountain Division,45-60,Female,High school degree,25000-49999,74236
Mountain Division,45-60,Female,High school degree,50000-99999,150235
Mountain Division,45-60,Female,Less than high school degree,0-24999,26989
Mountain Division,45-60,Female,Less than high school degree,100000-149999,42675
Mountain Division,45-60,Female,Less than high school degree,150000+,41447
Mountain Division,45-60,Female,Less than high school degree,25000-49999,41330
Mountain Division,45-60,Female,Less than high school degree,50000-99999,71150
Mountain Division,45-60,Female,Some college or Associate degree,0-24999,53021
Mountain Division,45-60,Female,Some college or Associate degree,100000-149999,162245
Mountain Division,45-60,Female,Some college or Associate degree,150000+,227952
Mountain Division,45-60,Female,Some college or Associate degree,25000-49999,76727
Mountain Division,45-60,Female,Some college or Associate degree,50000-99999,196381
Mountain Division,45-60,Male,Bachelor degree,0-24999,15237
Mountain Division,45-60,Male,Bachelor degree,100000-149999,112301
Mountain Division,45-60,Male,Bachelor degree,150000+,279107
Mountain Division,45-60,Male,Bachelor degree,25000-49999,26119
Mountain Division,45-60,Male,Bachelor degree,50000-99999,85151
Mountain Division,45-60,Male,Graduate degree,0-24999,7526
Mountain Division,45-60,Male,Graduate degree,100000-149999,60464
Mountain Division,45-60,Male,Graduate degree,150000+,224463
Mountain Division,45-60,Male,Graduate degree,25000-49999,7936
Mountain Division,45-60,Male,Graduate degree,50000-99999,42708
Mountain Division,45-60,Male,High school degree,0-24999,38309
Mountain Division,45-60,Male,High school degree,100000-149999,123893
Mountain Division,45-60,Male,High school degree,150000+,135742
Mountain Division,45-60,Male,High school degree,25000-49999,64858
Mountain Division,45-60,Male,High school degree,50000-99999,151901
Mountain Division,45-60,Male,Less than high school degree,0-24999,23535
Mountain Division,45-60,Male,Less than high school degree,100000-149999,53639
Mountain Division,45-60,Male,Less than high school degree,150000+,45463
Mountain Division,45-60,Male,Less than high school degree,25000-49999,40116
Mountain Division,45-60,Male,Less than high school degree,50000-99999,86268
Mountain Division,45-60,Male,Some college or Associate degree,0-24999,38164
Mountain Division,45-60,Male,Some college or Associate degree,100000-149999,163515
Mountain Division,45-60,Male,Some college or Associate degree,150000+,224758
Mountain Division,45-60,Male,Some college or Associate degree,25000-49999,56274
Mountain Division,45-60,Male,Some college or Associate degree,50000-99999,169192
Mountain Division,61+,Female,Bachelor degree,0-24999,52068
Mountain Division,61+,Female,Bachelor degree,100000-149999,115660
Mountain Division,61+,Female,Bachelor degree,150000+,145514
Mountain Division,61+,Female,Bachelor degree,25000-49999,88443
Mountain Division,61+,Female,Bachelor degree,50000-99999,174123
Mountain Division,61+,Female,Graduate degree,0-24999,26161
Mountain Division,61+,Female,Graduate degree,100000-149999,84119
Mountain Division,61+,Female,Graduate degree,150000+,126039
Mountain Division,61+,Female,Graduate degree,25000-49999,44485
Mountain Division,61+,Female,Graduate degree,50000-99999,114966
Mountain Division,61+,Female,High school degree,0-24999,146716
Mountain Division,61+,Female,High school degree,100000-149999,113008
Mountain Division,61+,Female,High school degree,150000+,102575
Mountain Division,61+,Female,High school degree,25000-49999,174513
Mountain Division,61+,Female,High school degree,50000-99999,257372
Mountain Division,61+,Female,Less than high school degree,0-24999,68091
Mountain Division,61+,Female,Less than high school degree,100000-149999,32218
Mountain Division,61+,Female,Less than high school degree,150000+,30611
Mountain Division,61+,Female,Less than high school degree,25000-49999,57191
Mountain Division,61+,Female,Less than high school degree,50000-99999,72946
Mountain Division,61+,Female,Some college or Associate degree,0-24999,142877
Mountain Division,61+,Female,Some college or Associate degree,100000-149999,166246
Mountain Division,61+,Female,Some college or Associate degree,150000+,166779
Mountain Division,61+,Female,Some college or Associate degree,25000-49999,222633
Mountain Division,61+,Female,Some college or Associate degree,50000-99999,336350
Mountain Division,61+,Male,Bachelor degree,0-24999,40398
Mountain Division,61+,Male,Bachelor degree,100000-149999,117310
Mountain Division,61+,Male,Bachelor degree,150000+,161093
Mountain Division,61+,Male,Bachelor degree,25000-49999,65834
Mountain Division,61+,Male,Bachelor degree,50000-99999,171460
Mountain Division,61+,Male,Graduate degree,0-24999,24324
Mountain Division,61+,Male,Graduate degree,100000-149999,101070
Mountain Division,61+,Male,Graduate degree,150000+,180551
Mountain Division,61+,Male,Graduate degree,25000-49999,38181
Mountain Division,61+,Male,Graduate degree,50000-99999,116302
Mountain Division,61+,Male,High school degree,0-24999,95282
Mountain Division,61+,Male,High school degree,100000-149999,95592
Mountain Division,61+,Male,High school degree,150000+,80772
Mountain Division,61+,Male,High school degree,25000-49999,134142
Mountain Division,61+,Male,High school degree,50000-99999,211097
Mountain Division,61+,Male,Less than high school degree,0-24999,54218
Mountain Division,61+,Male,Less than high school degree,100000-149999,27282
Mountain Division,61+,Male,Less than high school degree,150000+,27139
Mountain Division,61+,Male,Less than high school degree,25000-49999,50308
Mountain Division,61+,Male,Less than high school degree,50000-99999,68059
Mountain Division,61+,Male,Some college or Associate degree,0-24999,92977
Mountain Division,61+,Male,Some college or Associate degree,100000-149999,155477
Mountain Division,61+,Male,Some college or Associate degree,150000+,145196
Mountain Division,61+,Male,Some college or Associate degree,25000-49999,148570
Mountain Division,61+,Male,Some college or Associate degree,50000-99999,297377
New England Division,18-29,Female,Bachelor degree,0-24999,11906
New England Division,18-29,Female,Bachelor degree,100000-149999,71964
New England Division,18-29,Female,Bachelor degree,150000+,134502
New England Division,18-29,Female,Bachelor degree,25000-49999,20737
New England Division,18-29,Female,Bachelor degree,50000-99999,61491
New England Division,18-29,Female,Graduate degree,0-24999,3859
New England Division,18-29,Female,Graduate degree,100000-149999,29832
New England Division,18-29,Female,Graduate degree,150000+,48485
New England Division,18-29,Female,Graduate degree,25000-49999,5177
New England Division,18-29,Female,Graduate degree,50000-99999,24837
New England Division,18-29,Female,High school degree,0-24999,26109
New England Division,18-29,Female,High school degree,100000-149999,56079
New England Division,18-29,Female,High school degree,150000+,71845
New England Division,18-29,Female,High school degree,25000-49999,32878
New England Division,18-29,Female,High school degree,50000-99999,68567
New England Division,18-29,Female,Less than high school degree,0-24999,8262
New England Division,18-29,Female,Less than high school degree,100000-149999,10548
New England Division,18-29,Female,Less than high school degree,150000+,19116
New England Division,18-29,Female,Less than high school degree,25000-49999,8852
New England Division,18-29,Female,Less than high school degree,50000-99999,18008
New England Division,18-29,Female,Some college or Associate degree,0-24999,19083
New England Division,18-29,Female,Some college or Associate degree,100000-149999,57531
New England Division,18-29,Female,Some college or Associate degree,150000+,74279
New England Division,18-29,Female,Some college or Associate degree,25000-49999,34523
New England Division,18-29,Female,Some college or Associate degree,50000-99999,69260
New England Division,18-29,Male,Bachelor degree,0-24999,7980
New England Division,18-29,Male,Bachelor degree,100000-149999,55232
New England Division,18-29,Male,Bachelor degree,150000+,125949
New England Division,18-29,Male,Bachelor degree,25000-49999,13808
New England Division,18-29,Male,Bachelor degree,50000-99999,50208
New England Division,18-29,Male,Graduate degree,0-24999,3121
New England Division,18-29,Male,Graduate degree,100000-149999,17095
New England Division,18-29,Male,Graduate degree,150000+,31559
New England Division,18-29,Male,Graduate degree,25000-49999,4709
New England Division,18-29,Male,Graduate degree,50000-99999,12850
New England Division,18-29,Male,High school degree,0-24999,18912
New England Division,18-29,Male,High school degree,100000-149999,71816
New England Division,18-29,Male,High school degree,150000+,113882
New England Division,18-29,Male,High school degree,25000-49999,40097
New England Division,18-29,Male,High school degree,50000-99999,100469
New England Division,18-29,Male,Less than high school degree,0-24999,7767
New England Division,18-29,Male,Less than high school degree,100000-149999,14605
New England Division,18-29,Male,Less than high school degree,150000+,25586
New England Division,18-29,Male,Less than high school degree,25000-49999,13317
New England Division,18-29,Male,Less than high school degree,50000-99999,27776
New England Division,18-29,Male,Some college or Associate degree,0-24999,13803
New England Division,18-29,Male,Some college or Associate degree,100000-149999,58549
New England Division,18-29,Male,Some college or Associate degree,150000+,96611
New England Division,18-29,Male,Some college or Associate degree,25000-49999,20711
New England Division,18-29,Male,Some college or Associate degree,50000-99999,60465
New England Division,30-44,Female,Bachelor degree,0-24999,9069
New England Division,30-44,Female,Bachelor degree,100000-149999,99538
New England Division,30-44,Female,Bachelor degree,150000+,218451
New England Division,30-44,Female,Bachelor degree,25000-49999,22577
New England Division,30-44,Female,Bachelor degree,50000-99999,82134
New England Division,30-44,Female,Graduate degree,0-24999,7655
New England Division,30-44,Female,Graduate degree,100000-149999,78143
New England Division,30-44,Female,Graduate degree,150000+,264987
New England Division,30-44,Female,Graduate degree,25000-49999,9805
New England Division,30-44,Female,Graduate degree,50000-99999,61931
New England Division,30-44,Female,High school degree,0-24999,32847
New England Division,30-44,Female,High school degree,100000-149999,56027
New England Division,30-44,Female,High school degree,150000+,46586
New England Division,30-44,Female,High school degree,25000-49999,41438
New England Division,30-44,Female,High school degree,50000-99999,81078
New England Division,30-44,Female,Less than high school degree,0-24999,12152
New England Division,30-44,Female,Less than high school degree,100000-149999,14879
New England Division,30-44,Female,Less than high school degree,150000+,13877
New England Division,30-44,Female,Less than high school degree,25000-49999,17026
New England Division,30-44,Female,Less than high school degree,50000-99999,20476
New England Division,30-44,Female,Some college or Associate degree,0-24999,26449
New England Division,30-44,Female,Some college or Associate degree,100000-149999,79134
New England Division,30-44,Female,Some college or Associate degree,150000+,86463
New England Division,30-44,Female,Some college or Associate degree,25000-49999,45413
New England Division,30-44,Female,Some college or Associate degree,50000-99999,99973
New England Division,30-44,Male,Bachelor degree,0-24999,6625
New England Division,30-44,Male,Bachelor degree,100000-149999,91127
New England Division,30-44,Male,Bachelor degree,150000+,228523
New England Division,30-44,Male,Bachelor degree,25000-49999,15360
New England Division,30-44,Male,Bachelor degree,50000-99999,62338
New England Division,30-44,Male,Graduate degree,0-24999,5007
New England Division,30-44,Male,Graduate degree,100000-149999,46694
New England Division,30-44,Male,Graduate degree,150000+,182546
New England Division,30-44,Male,Graduate degree,25000-49999,7538
New England Division,30-44,Male,Graduate degree,50000-99999,35550
New England Division,30-44,Male,High school degree,0-24999,21922
New England Division,30-44,Male,High school degree,100000-149999,89815
New England Division,30-44,Male,High school degree,150000+,94116
New England Division,30-44,Male,High school degree,25000-49999,38537
New England Division,30-44,Male,High school degree,50000-99999,107386
New England Division,30-44,Male,Less than high school degree,0-24999,12528
New England Division,30-44,Male,Less than high school degree,100000-149999,19466
New England Division,30-44,Male,Less than high school degree,150000+,24636
New England Division,30-44,Male,Less than high school degree,25000-49999,15436
New England Division,30-44,Male,Less than high school degree,50000-99999,35252
New England Division,30-44,Male,Some college or Associate degree,0-24999,13034
New England Division,30-44,Male,Some college or Associate degree,100000-149999,87700
New England Division,30-44,Male,Some college or Associate degree,150000+,110107
New England Division,30-44,Male,Some college or Associate degree,25000-49999,25247
New England Division,30-44,Male,Some college or Associate degree,50000-99999,90822
New England Division,45-60,Female,Bachelor degree,0-24999,14414
New England Division,45-60,Female,Bachelor degree,100000-149999,71787
New England Division,45-60,Female,Bachelor degree,150000+,219143
New England Division,45-60,Female,Bachelor degree,25000-49999,20677
New England Division,45-60,Female,Bachelor degree,50000-99999,60738
New England Division,45-60,Female,Graduate degree,0-24999,8196
New England Division,45-60,Female,Graduate degree,100000-149999,59556
New England Division,45-60,Female,Graduate degree,150000+,242439
New England Division,45-60,Female,Graduate degree,25000-49999,7826
New England Division,45-60,Female,Graduate degree,50000-99999,41801
New England Division,45-60,Female,High school degree,0-24999,34949
New England Division,45-60,Female,High school degree,100000-149999,71382
New England Division,45-60,Female,High school degree,150000+,91479
New England Division,45-60,Female,High school degree,25000-49999,46335
New England Division,45-60,Female,High school degree,50000-99999,88940
