"Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2024)"
"Weight: Housing Unit Weight (WGTP)"
"Universe:"
"Selected Geographies:"
"  East North Central Division"
"  East South Central Division"
"  Middle Atlantic Division"
"  Mountain Division"
"  New England Division"
"  Pacific Division"
"  South Atlantic Division"
"  West North Central Division"
"  West South Central Division"
"","","Income_Group (HINCP_RC1)","","","","",""
"Group","Educational attainment","Total Income_Group (HINCP_RC1)","0-24999","25000-49999","50000-99999","100000-149999","150000+"
"","Doctorate degree","49,228","747","1,064","6,209","8,308","32,900"
" -> New England Division -> 30-44 -> Female","","1,528,108","88,172","136,259","345,592","327,721","630,364"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
"","No schooling completed","19,960","2,242","5,052","4,212","5,091","3,363"
"","Nursery school, preschool","718","718","0","0","0","0"
"","Kindergarten","176","0","176","0","0","0"
"","Grade 1","511","0","458","0","0","53"
"","Grade 2","721","0","0","340","158","223"
"","Grade 3","2,448","308","672","1,101","130","237"
"","Grade 4","1,326","267","0","1,059","0","0"
"","Grade 5","1,711","0","455","709","477","70"
"","Grade 6","3,308","456","1,620","728","0","504"
"","Grade 7","2,011","788","0","996","0","227"
"","Grade 8","3,375","1,276","575","668","320","536"
"","Grade 9","6,918","839","2,089","2,285","1,167","538"
"","Grade 10","5,910","214","1,237","1,290","2,042","1,127"
"","Grade 11","9,054","765","1,278","3,158","1,839","2,014"
"","12th grade - no diploma","20,263","4,279","3,414","3,930","3,655","4,985"
"","Regular high school diploma","217,087","27,098","34,459","69,383","46,099","40,048"
"","GED or alternative credential","40,889","5,749","6,979","11,695","9,928","6,538"
"","Some college, but less than 1 year","68,510","7,448","8,549","21,673","16,522","14,318"
"","1 or more years of college credit, no degree","151,997","12,227","23,903","45,933","31,761","38,173"
"","Associate's degree","116,925","6,774","12,961","32,367","30,851","33,972"
"","Bachelor's degree","431,769","9,069","22,577","82,134","99,538","218,451"
"","Master's degree","315,488","6,187","8,243","48,812","61,084","191,162"
"","Professional degree beyond a bachelor's degree","52,946","858","1,069","6,269","7,762","36,988"
"","Doctorate degree","54,087","610","493","6,850","9,297","36,837"
" -> New England Division -> 45-60","","2,965,941","171,298","228,835","586,856","581,734","1,397,218"
